"研究課題名","研究課題名 (英文)","研究課題/領域番号","研究期間 (年度)","研究代表者","研究分担者","連携研究者","研究協力者","特別研究員","外国人特別研究員","受入研究者","キーワード","研究分野","審査区分","研究種目","研究機関","応募区分","総配分額","総配分額 (直接経費)","総配分額 (間接経費)","各年度配分額","各年度配分額 (直接経費)","各年度配分額 (間接経費)","現在までの達成度 (区分コード)","現在までの達成度 (区分)","理由","研究概要","研究概要 (英文)","研究成果の概要","研究成果の概要 (英文)","研究実績の概要","現在までの達成度 (段落)","今後の研究の推進方策","次年度の研究費の使用計画","次年度使用額が生じた理由","次年度使用額の使用計画","自由記述の分野","評価記号","備考"
"深層学習における内部状態の統計的手法による表現と新しい学習手法の構築","Statistical Representation of Internal States of Depth Neural Networks and Exploration of New Learning Methods","18K11449","2018-04-01 – 2021-03-31","柴田 千尋 東京工科大学, コンピュータサイエンス学部, 講師 (00633299)","持橋 大地 統計数理研究所, 数理・推論研究系, 准教授 (80418508)
吉仲 亮 東北大学, 情報科学研究科, 准教授 (80466424)","","","","","","ディープラーニング / 統計的学習理論 / 自然言語処理 / 時系列予測","","小区分61030:知能情報学関連","基盤研究(C)","東京工科大学","一般","4550000","3500000","1050000","2018:1950000 2019:1950000 2020:650000","2018:1500000 2019:1500000 2020:500000","2018:450000 2019:450000 2020:150000","","","","","","","","","","","","","","","",""
"発話・応答テキストの自動品質推定による大規模対話データ構築","","18K11435","2018-04-01 – 2021-03-31","荒瀬 由紀 大阪大学, 情報科学研究科, 准教授 (00747165)","","","","","","","対話システム / 自然言語処理 / 言語資源","","小区分61030:知能情報学関連","基盤研究(C)","大阪大学","一般","4420000","3400000","1020000","2018:1040000 2019:1820000 2020:1560000","2018:800000 2019:1400000 2020:1200000","2018:240000 2019:420000 2020:360000","","","","","","","","","","","","","","","",""
"実世界と可能世界が参照可能であるテキストの日本語モダリティ解析","","18K11427","2018-04-01 – 2021-03-31","松吉 俊 電気通信大学, 大学院情報理工学研究科, 助教 (10512163)","森 信介 京都大学, 学術情報メディアセンター, 教授 (90456773)
村脇 有吾 京都大学, 情報学研究科, 助教 (70616606)","","","","","","自然言語処理 / 意味処理 / モダリティ / シンボルグラウンディング / 将棋","","小区分61030:知能情報学関連","基盤研究(C)","電気通信大学","一般","4420000","3400000","1020000","2018:1820000 2019:1690000 2020:910000","2018:1400000 2019:1300000 2020:700000","2018:420000 2019:390000 2020:210000","","","","","","","","","","","","","","","",""
"半教師あり深層学習を用いた語義曖昧性解消","Word Sense Disambiguation Using Semi-supervised Deep Learning","18K11422","2018-04-01 – 2021-03-31","佐々木 稔 茨城大学, 工学部, 講師 (60344834)","","","","","","","語義曖昧性解消 / 自然言語処理 / 半教師あり深層学習","","小区分61030:知能情報学関連","基盤研究(C)","茨城大学","一般","3510000","2700000","810000","2018:1430000 2019:1040000 2020:1040000","2018:1100000 2019:800000 2020:800000","2018:330000 2019:240000 2020:240000","","","","","","","","","","","","","","","",""
"第二世代技術経営としてのcMOTフレームワークの体系化","","18K04629","2018-04-01 – 2021-03-31","中岡 伊織 宇部工業高等専門学校, 経営情報学科, 准教授 (50469186)","陳 韻如 滋賀大学, 経済学部, 准教授 (00389404)
朴 唯新 県立広島大学, 経営情報学部, 准教授 (20435457)
赤岡 広周 京都産業大学, 経営学部, 准教授 (70571074)","","","","","","技術経営 / 自然言語処理 / ネットワーク分析","","小区分25010:社会システム工学関連","基盤研究(C)","宇部工業高等専門学校","一般","4290000","3300000","990000","2018:2080000 2019:1300000 2020:910000","2018:1600000 2019:1000000 2020:700000","2018:480000 2019:300000 2020:210000","","","","","","","","","","","","","","","",""
"語彙処理の計算認知神経科学的研究","Computational cognitive neuroscience of lexical processing","18H05589","2018-08-24 – 2020-03-31","大関 洋平 早稲田大学, 理工学術院, 講師(任期付) (10821994)","","","","","","","言語学 / 計算認知科学 / 認知神経科学 / 自然言語処理","","0102:文学、言語学およびその関連分野","研究活動スタート支援","早稲田大学","","2990000","2300000","690000","2018:1560000","2018:1200000","2018:360000","","","","","","","","","","","","","","","",""
"個体関係認知の神経基盤とそのトランスカルチャー比較","","18H04201","2018-04-01 – 2020-03-31","岡本 正博 福島県立医科大学, 医学部, 助教 (90548976)","","","","","","","人物知識 / 自由記述 / 非構造化データ / 自然言語処理 / fMRI","","","新学術領域研究(研究領域提案型)","福島県立医科大学","","5200000","4000000","1200000","2018:2600000","2018:2000000","2018:600000","","","","","","","","","","","","","","","",""
"神経リズムの引き込み協調により実現する脳コミュニケーション","Communication between brains by synchronization of neural oscillations","18H03502","2018-04-01 – 2021-03-31","水原 啓暁 京都大学, 情報学研究科, 講師 (30392137)","佐藤 直行 公立はこだて未来大学, システム情報科学部, 教授 (70312668)","","","","","","コミュニケーション / 脳波 / シンクロ / 音声知覚 / 自然言語処理","","小区分90030:認知科学関連","基盤研究(B)","京都大学","一般","17420000","13400000","4020000","2018:6500000","2018:5000000","2018:1500000","","","","","","","","","","","","","","","",""
"法令改正に伴う英訳法令修正を支援する環境の構築：ハイブリッド機械翻訳に基づく手法","","18H03492","2018-04-01 – 2021-03-31","外山 勝彦 名古屋大学, 情報基盤センター, 教授 (70217561)","","","","","","","法情報処理 / 法令翻訳 / 機械翻訳 / 法制執務 / 自然言語処理","","小区分90020:図書館情報学および人文社会情報学関連","基盤研究(B)","名古屋大学","一般","17160000","13200000","3960000","2018:6370000","2018:4900000","2018:1470000","","","","","","","","","","","","","","","",""
"言語と視覚をつなぐ形式的意味表現の研究","","18H03268","2018-04-01 – 2021-03-31","宮尾 祐介 国立情報学研究所, 大学共同利用機関等の部局等, 准教授 (00343096)","","","","","","","意味表現 / 自然言語処理 / 画像処理","","小区分61010:知覚情報処理関連","基盤研究(B)","国立情報学研究所","一般","17160000","13200000","3960000","2018:5460000","2018:4200000","2018:1260000","","","","","","","","","","","","","","","",""
"ブロック玩具をモデルとする日本語文章合成ツールキットの設計と実装","","17K20028","2017-06-30 – 2019-03-31","佐藤 理史 名古屋大学, 工学研究科, 教授 (30205918)","","","","","","","テキスト生成 / 自然言語処理 / 日本語","応用情報学およびその関連分野","","挑戦的研究(萌芽)","名古屋大学","","6240000","4800000","1440000","2017:3900000 2018:2340000","2017:3000000 2018:1800000","2017:900000 2018:540000","","","","","","","","","","","","","","","",""
"確率的アプローチに基づく小論文の論理性自動評価システムの開発","","17K20024","2017-06-30 – 2020-03-31","宇都 雅輝 電気通信大学, 大学院情報理工学研究科, 助教 (10732571)","","","","","","","自然言語処理 / 論証マイニング / 統計的機械学習 / ベイズ統計 / 小論文自動採点","応用情報学およびその関連分野","","挑戦的研究(萌芽)","電気通信大学","","6500000","5000000","1500000","2017:2080000 2018:2080000 2019:2340000","2017:1600000 2018:1600000 2019:1800000","2017:480000 2018:480000 2019:540000","","","","","","","","","","","","","","","",""
"SLA・CV・NLP融合研究としての手話指文字学習システムの開発","","17K18678","2017-06-30 – 2020-03-31","田中 省作 立命館大学, 文学部, 教授 (00325549)","本田 久平 大分工業高等専門学校, その他部局等, 准教授 (40342589)
長谷川 由美 近畿大学, 生物理工学部, 准教授 (40585220)","","","","","","手話 / 指文字 / コンピュータビジョン / 自然言語処理 / 第二言語習得","教育学およびその関連分野","","挑戦的研究(萌芽)","立命館大学","","6370000","4900000","1470000","2017:2860000 2018:1820000 2019:1690000","2017:2200000 2018:1400000 2019:1300000","2017:660000 2018:420000 2019:390000","","","","","","","","","","","","","","","",""
"やさしい日本語化実証実験による言語資源構築と自動平易化システムの試作","Constructing simplified Japanese corpus and prototyping automatic text simplification","17K18481","2017-06-30 – 2020-03-31","山本 和英 長岡技術科学大学, 工学研究科, 准教授 (40359708)","","","","","","","人工知能 / 教育工学 / 自然言語処理 / 自動平易化 / やさしい日本語","文学、言語学およびその関連分野","","挑戦的研究(萌芽)","長岡技術科学大学","","6240000","4800000","1440000","2017:1430000 2018:2210000 2019:2600000","2017:1100000 2018:1700000 2019:2000000","2017:330000 2018:510000 2019:600000","","","","","","","","","","","","","","","",""
"統合的画像診断システム構築のための基盤整備に関する研究","Study on infrastructure development of integrating  imaging diagnosis system","17K15868","2017-04-01 – 2020-03-31","谷川原 綾子 北海道科学大学, 保健医療学部, 講師 (50711884)","","","","","","","コンピュータ支援診断 / オントロジー / 自然言語処理","病院・医療管理学 / 社会医学 / 医歯薬学 / 生物系","","若手研究(B)","北海道科学大学","","4160000","3200000","960000","2017:1170000 2018:1300000 2019:1690000","2017:900000 2018:1000000 2019:1300000","2017:270000 2018:300000 2019:390000","","","","","","","","","","","","","","","",""
"機械学習を用いた放射線治療の安全に関するオントロジーの構築","","17K15795","2017-04-01 – 2020-03-31","辻 真太朗 北海道大学, 保健科学研究院, 助教 (90785734)","","","","","","","オントロジー / 機械学習 / 自然言語処理 / 放射線治療 / 医療安全","医学物理学・放射線技術学 / 境界医学 / 医歯薬学 / 生物系","","若手研究(B)","北海道大学","","2470000","1900000","570000","2017:1170000 2018:650000 2019:650000","2017:900000 2018:500000 2019:500000","2017:270000 2018:150000 2019:150000","","","","","","","","","","","","","","","",""
"英文自動評価システムを用いたフィードバックの明示性に関する研究","","17K13511","2017-04-01 – 2021-03-31","小林 雄一郎 日本大学, 生産工学部, 助教 (00725666)","","","","","","","フィードバック / 自動評価 / コーパス / 自然言語処理 / 機械学習","外国語教育 / 言語学 / 人文学 / 人文社会系","","若手研究(B)","日本大学","","3770000","2900000","870000","2017:910000 2018:650000 2019:780000 2020:1430000","2017:700000 2018:500000 2019:600000 2020:1100000","2017:210000 2018:150000 2019:180000 2020:330000","","","","","","","","","","","","","","","",""
"","Corpora on Demand: Scalable Methods of Obtaining Linguistic Data","17K12739","2017-04-01 – 2019-03-31","ドローズド アレクサンドロ 東京工業大学, 学術国際情報センター, 研究員 (90740126)","","","","","","","自然言語処理","知能情報学 / 人間情報学 / 情報学 / 総合系","","若手研究(B)","東京工業大学","","1820000","1400000","420000","2017:780000 2018:1040000","2017:600000 2018:800000","2017:180000 2018:240000","","","","","","","","","","","","","","","",""
"要約技術と簡約技術を融合したテキストの個人化","","17K12738","2017-04-01 – 2020-03-31","西川 仁 東京工業大学, 情報理工学院, 助教 (00765026)","","","","","","","自然言語処理 / 自動要約","知能情報学 / 人間情報学 / 情報学 / 総合系","","若手研究(B)","東京工業大学","","4030000","3100000","930000","2017:2600000 2018:780000 2019:650000","2017:2000000 2018:600000 2019:500000","2017:600000 2018:180000 2019:150000","","","","","","","","","","","","","","","",""
"法令のあらましの自動生成","Automatic generation of the Outlines of Japanese Statutes","17K00460","2017-04-01 – 2020-03-31","小川 泰弘 名古屋大学, 情報基盤センター, 准教授 (70332707)","","","","","","","法律情報 / 自然言語処理 / 自動要約 / 機械翻訳","図書館情報学・人文社会情報学 / 情報学フロンティア / 情報学 / 総合系","","基盤研究(C)","名古屋大学","一般","4550000","3500000","1050000","2017:1950000 2018:1300000 2019:1300000","2017:1500000 2018:1000000 2019:1000000","2017:450000 2018:300000 2019:300000","","","","","","","","","","","","","","","",""
"テキストの形態パターン情報を活用した汎用型未来動向予測支援システムの開発","","17K00324","2017-04-01 – 2020-03-31","中島 陽子 釧路工業高等専門学校, 創造工学科, 講師 (20217730)","プタシンスキ ミハウ 北見工業大学, 工学部, 助教 (60711504)
桝井 文人 北見工業大学, 工学部, 准教授 (80324549)
本間 宏利 釧路工業高等専門学校, 創造工学科, 准教授 (80249721)","","","","","","未来動向予測支援 / 情報抽出 / 自然言語処理","知能情報学 / 人間情報学 / 情報学 / 総合系","","基盤研究(C)","釧路工業高等専門学校","一般","4550000","3500000","1050000","2017:1430000 2018:1690000 2019:1430000","2017:1100000 2018:1300000 2019:1100000","2017:330000 2018:390000 2019:330000","","","","","","","","","","","","","","","",""
"形式意味論的アプローチに基づく同時的言語解析システムの開発","","17K00303","2017-04-01 – 2020-03-31","加藤 芳秀 名古屋大学, 情報連携統括本部, 准教授 (20362220)","","","","","","","自然言語処理 / 意味解析 / 構文解析 / 形式意味論","知能情報学 / 人間情報学 / 情報学 / 総合系","","基盤研究(C)","名古屋大学","一般","3380000","2600000","780000","2017:1690000 2018:650000 2019:1040000","2017:1300000 2018:500000 2019:800000","2017:390000 2018:150000 2019:240000","","","","","","","","","","","","","","","",""
"他者の意見の引用を考慮したオピニオンマイニング","","17K00298","2017-04-01 – 2020-03-31","白井 清昭 北陸先端科学技術大学院大学, 先端科学技術研究科, 准教授 (30302970)","","","","","","","自然言語処理 / オピニオンマイニング","知能情報学 / 人間情報学 / 情報学 / 総合系","","基盤研究(C)","北陸先端科学技術大学院大学","一般","4420000","3400000","1020000","2017:1690000 2018:1690000 2019:1040000","2017:1300000 2018:1300000 2019:800000","2017:390000 2018:390000 2019:240000","","","","","","","","","","","","","","","",""
"ユーモアの面白さの評価手法及び標準データセットの開発","Development of Evaluation Method and Standard Data Set for Fun of Humor","17K00294","2017-04-01 – 2020-03-31","荒木 健治 北海道大学, 情報科学研究科, 教授 (50202742)","内田 ゆず 北海学園大学, 工学部, 准教授 (80583575)
佐山 公一 小樽商科大学, 商学部, 教授 (90271733)","","","","","","自然言語処理 / ユーモア / データベース","知能情報学 / 人間情報学 / 情報学 / 総合系","","基盤研究(C)","北海道大学","一般","3380000","2600000","780000","2017:1690000 2018:780000 2019:910000","2017:1300000 2018:600000 2019:700000","2017:390000 2018:180000 2019:210000","","","","","","","","","","","","","","","",""
"自然言語処理技術による既存開発文書からの追加的要求定義に関する研究","Elicitation of Additional Requirements from Existing Development Artifacts by Natural Language Processing","17K00116","2017-04-01 – 2020-03-31","中西 恒夫 福岡大学, 工学部, 教授 (70311785)","吉村 賢治 福岡大学, 工学部, 教授 (40167002)
乙武 北斗 福岡大学, 工学部, 助教 (20580179)
古庄 裕貴 福岡大学, 工学部, 助教 (90781807)
田辺 利文 福岡大学, 工学部, 助教 (80330900)
廣重 法道 福岡大学, 工学部, 助教 (30736228)","","","","","","要求獲得 / 自然言語処理 / プロダクトライン / 派生開発 / HAZOP","ソフトウェア / 計算基盤 / 情報学 / 総合系","","基盤研究(C)","福岡大学","一般","4550000","3500000","1050000","2017:1430000 2018:1560000 2019:1560000","2017:1100000 2018:1200000 2019:1200000","2017:330000 2018:360000 2019:360000","","","","","","","","","","","","","","","",""
"裁判過程における人工知能による高次推論支援","Advanced Reasoning Support for Judicial Judgment by Artificial Intelligence","17H06103","2017-05-31 – 2022-03-31","佐藤 健 国立情報学研究所, 大学共同利用機関等の部局等, 教授 (00271635)","本村 陽一 国立研究開発法人産業技術総合研究所, 情報・人間工学領域, 首席研究員 (30358171)
狩野 芳伸 静岡大学, 情報学部, 准教授 (20506729)
高橋 和子 関西学院大学, 理工学部, 教授 (30330400)
西貝 小名都 首都大学東京, 社会科学研究科, 准教授 (20580400)","","","","","","法的推論 / 裁判過程 / juris-informatics / 裁判支援 / 論理プログラミング / 自然言語処理 / ベイジアンネットワーク / 議論枠組み","知能情報学 / 人間情報学 / 情報学 / 総合系","","基盤研究(S)","国立情報学研究所","","147680000","113600000","34080000","2017:24440000 2018:30810000","2017:18800000 2018:23700000","2017:5640000 2018:7110000","","","","","","","","","","","","","","","",""
"自然言語処理技術とディープラーニング手法を用いた有害事象検出方法の確立","Detection of adverse events by using natural language processing and deep learning approach","17H04142","2017-04-01 – 2021-03-31","鳥谷部 真一 新潟大学, 危機管理本部, 教授 (20227648)","","","","","","","リスクマネジメント / 医療安全管理 / 有害事象 / 自然言語処理 / 機械学習","病院・医療管理学 / 社会医学 / 医歯薬学 / 生物系","","基盤研究(B)","新潟大学","一般","9880000","7600000","2280000","2017:4160000 2018:1300000","2017:3200000 2018:1000000","2017:960000 2018:300000","","","","","","","","","","","","","","","",""
"人工知能を利用した短答式記述採点支援システムの開発","AI-based Japanese Short-answer Scoring and Support System","17H01843","2017-04-01 – 2020-03-31","石岡 恒憲 独立行政法人大学入試センター, 研究開発部, 教授 (80311166)","峯 恒憲 九州大学, システム情報科学研究院, 准教授 (30243851)","","","","","","人工知能 / 自然言語処理 / 情報システム / CBT","学習支援システム / 情報学フロンティア / 情報学 / 総合系","","基盤研究(B)","独立行政法人大学入試センター","一般","10010000","7700000","2310000","2017:4160000 2018:3770000","2017:3200000 2018:2900000","2017:960000 2018:870000","","","","","","","","","","","","","","","",""
"ニューラルモデルと離散最適化技術を用いた高品質な要約作成","Text Summarization Based on the Combination of Neural Models and Optimization Technologies","17H01786","2017-04-01 – 2020-03-31","奥村 学 東京工業大学, 科学技術創成研究院, 教授 (60214079)","平尾 努 日本電信電話株式会社NTTコミュニケーション科学基礎研究所, 協創情報研究部, 主任研究員 (40396148)
高村 大也 東京工業大学, 科学技術創成研究院, 教授 (80361773)","","","","","","自然言語処理 / テキスト要約 / 深層学習 / 離散最適化","知能情報学 / 人間情報学 / 情報学 / 総合系","","基盤研究(B)","東京工業大学","一般","17550000","13500000","4050000","2017:7670000 2018:4810000","2017:5900000 2018:3700000","2017:1770000 2018:1110000","","","","","","","","","","","","","","","",""
"データ・理論・分析手法の統合によるマーケティングモデルの進化と理論構築","","17H01001","2017-04-01 – 2022-03-31","照井 伸彦 東北大学, 経済学研究科, 教授 (50207495)","石垣 司 東北大学, 経済学研究科, 准教授 (20469597)
近藤 文代 筑波大学, システム情報系, 講師 (40322010)
佐藤 忠彦 筑波大学, ビジネスサイエンス系, 教授 (40400626)
中野 純司 統計数理研究所, モデリング研究系, 教授 (60136281)","","","","","","マーケティングモデル / 機械学習 / ベイズ統計 / 消費者行動論 / テキスト解析 / 高次元消費者選択モデル / 自然言語処理 / 大規模情報","商学 / 経営学 / 社会科学 / 人文社会系","","基盤研究(A)","東北大学","一般","25480000","19600000","5880000","2017:5200000 2018:4420000","2017:4000000 2018:3400000","2017:1200000 2018:1020000","","","","","","","","","","","","","","","",""
"情報端末・統計理論・自然言語処理技術を用いた先端的試験技術の開発と運用（国際共同研究強化）","","16KK0010","2017 – 2018","大久保 智哉 独立行政法人大学入試センター, 研究開発部, 助教 (80512136)","","","","","","","CBT / 教育測定 / 学習支援 / IRT","教育工学 / 科学教育・教育工学 / 複合領域 / 総合系","","国際共同研究加速基金（国際共同研究強化）","独立行政法人大学入試センター","","13000000","10000000","3000000","","","","","","","","","","","","","","","","","","",""
